Date,Time,Open,High,Low,Close,Volume
10/03/2014,20:00:00,362.07,362.91,355.0,359.74,4445.95
10/04/2014,00:00:00,358.93,367.05,358.0,363.64,2056.15
10/04/2014,04:00:00,363.64,364.9,357.6,358.83,1176.03
10/04/2014,08:00:00,358.92,358.95,347.21,348.67,5421.91
10/04/2014,12:00:00,348.43,351.8,342.25,342.25,5285.55
10/04/2014,16:00:00,342.11,343.0,326.3,328.16,14914.36
10/04/2014,20:00:00,328.13,338.0,321.5,328.25,9903.3
10/05/2014,00:00:00,327.36,346.69,327.32,338.3,3773.81
10/05/2014,04:00:00,338.3,339.29,325.1,325.1,3042.41
10/05/2014,08:00:00,325.1,326.99,298.22,312.99,17990.57
10/05/2014,12:00:00,311.63,319.87,275.0,293.0,15021.75
10/05/2014,16:00:00,293.0,319.99,281.6,319.12,26252.93
10/05/2014,20:00:00,319.13,329.0,301.2,319.9,18049.73
10/06/2014,00:00:00,319.9,324.0,301.0,314.0,10740.72
10/06/2014,04:00:00,312.7,341.3,307.0,325.21,12689.95
10/06/2014,08:00:00,326.41,339.5,318.0,331.02,7226.35
10/06/2014,12:00:00,331.97,346.89,327.5,340.0,10244.9
10/06/2014,16:00:00,339.97,345.99,328.0,331.33,9302.27
10/06/2014,20:00:00,331.34,336.49,323.1,327.56,6039.83
10/07/2014,00:00:00,327.59,340.0,327.01,336.71,7162.35
10/07/2014,04:00:00,336.5,339.5,324.99,326.34,5451.9
10/07/2014,08:00:00,326.99,328.22,317.0,321.95,5626.74
10/07/2014,12:00:00,322.67,333.7,321.0,327.02,4730.21
10/07/2014,16:00:00,327.66,333.5,325.6,327.5,3333.66
10/07/2014,20:00:00,327.48,336.8,327.47,335.97,2114.43
10/08/2014,00:00:00,335.97,336.47,323.85,326.77,3670.49
10/08/2014,04:00:00,325.97,332.14,324.1,331.41,1712.3
10/08/2014,08:00:00,331.78,345.5,331.22,338.0,9112.49
10/08/2014,12:00:00,338.0,352.5,335.13,348.7,7347.91
10/08/2014,16:00:00,347.17,351.0,342.01,345.58,4535.4
10/08/2014,20:00:00,345.58,354.87,345.58,352.9,6769.95
10/09/2014,00:00:00,353.0,357.2,349.5,353.8,4447.82
10/09/2014,04:00:00,353.8,363.99,347.14,357.62,6995.8
10/09/2014,08:00:00,357.63,372.2,357.22,370.97,6800.14
10/09/2014,12:00:00,371.95,387.13,363.0,379.71,18277.89
10/09/2014,16:00:00,380.57,382.07,366.1,375.0,8296.45
10/09/2014,20:00:00,374.78,374.89,352.7,364.0,14001.68
10/10/2014,00:00:00,363.98,372.0,358.26,368.52,4749.14
10/10/2014,04:00:00,368.86,379.74,362.0,367.11,5838.23
10/10/2014,08:00:00,367.72,370.99,358.25,363.01,4615.27
10/10/2014,12:00:00,363.38,365.0,351.15,354.59,7927.38
10/10/2014,16:00:00,354.59,361.5,353.65,356.95,4988.79
10/10/2014,20:00:00,356.8,364.0,354.55,359.1,3143.29
10/11/2014,00:00:00,359.1,368.5,357.31,360.0,4379.73
10/11/2014,04:00:00,360.0,365.88,358.0,360.31,1493.55
10/11/2014,08:00:00,360.34,362.41,353.1,355.15,3215.29
10/11/2014,12:00:00,355.14,358.4,351.0,352.89,2654.14
10/11/2014,16:00:00,353.92,362.3,352.43,361.5,2642.24
10/11/2014,20:00:00,361.5,363.3,359.0,360.66,2288.95
10/12/2014,00:00:00,361.01,362.0,358.18,360.0,677.01
10/12/2014,04:00:00,359.82,360.98,358.05,358.5,413.64
10/12/2014,08:00:00,358.34,358.49,351.86,355.5,2719.69
10/12/2014,12:00:00,355.58,364.5,355.51,361.59,2365.29
10/12/2014,16:00:00,361.51,374.5,360.23,373.54,6758.96
10/12/2014,20:00:00,373.54,382.46,368.1,378.05,7977.64
10/13/2014,00:00:00,378.05,379.62,369.3,371.98,3328.65
10/13/2014,04:00:00,371.98,377.08,368.24,376.31,2404.97
10/13/2014,08:00:00,376.69,385.0,375.5,381.0,4233.75
10/13/2014,12:00:00,380.84,385.0,373.0,377.3,6049.82
10/13/2014,16:00:00,377.48,386.0,372.5,383.99,9816.95
10/13/2014,20:00:00,383.36,399.89,382.61,391.2,16890.08
10/14/2014,00:00:00,391.5,398.5,391.5,395.65,4951.33
10/14/2014,04:00:00,396.29,414.0,396.0,402.75,15447.94
10/14/2014,08:00:00,402.75,408.15,398.41,404.0,4764.01
10/14/2014,12:00:00,404.0,407.0,395.1,400.69,7807.15
10/14/2014,16:00:00,400.69,414.42,399.02,406.9,6913.88
10/14/2014,20:00:00,406.88,410.79,395.56,399.0,7358.79
10/15/2014,00:00:00,399.0,400.98,391.7,399.68,3854.17
10/15/2014,04:00:00,398.84,402.68,393.07,395.0,2925.68
10/15/2014,08:00:00,395.07,396.5,384.7,393.8,11111.74
10/15/2014,12:00:00,393.8,397.5,384.81,389.88,6163.75
10/15/2014,16:00:00,390.1,393.0,386.25,391.61,2386.89
10/15/2014,20:00:00,391.51,396.99,390.64,394.2,3099.28
10/16/2014,00:00:00,394.2,400.0,394.0,394.01,2529.72
10/16/2014,04:00:00,394.0,394.0,391.11,393.66,1553.27
10/16/2014,08:00:00,393.67,396.0,381.23,383.77,4052.55
10/16/2014,12:00:00,383.78,385.5,374.11,380.73,7414.05
10/16/2014,16:00:00,380.7,383.65,372.12,373.66,6928.84
10/16/2014,20:00:00,374.15,388.75,370.21,381.6,7606.65
10/17/2014,00:00:00,381.55,382.85,377.1,378.87,1560.79
10/17/2014,04:00:00,378.91,386.8,377.21,384.0,2018.3
10/17/2014,08:00:00,383.35,383.37,373.2,374.05,2742.0
10/17/2014,12:00:00,374.87,378.5,372.0,376.27,1576.83
10/17/2014,16:00:00,376.32,385.96,373.6,380.5,4570.94
10/17/2014,20:00:00,380.14,385.0,380.01,382.48,1360.18
10/18/2014,00:00:00,381.24,381.75,376.4,380.59,1916.35
10/18/2014,04:00:00,380.41,381.43,376.66,378.71,306.58
10/18/2014,08:00:00,378.61,384.5,378.02,382.56,779.02
10/18/2014,12:00:00,382.57,396.0,382.57,391.05,4817.58
10/18/2014,16:00:00,391.05,395.19,383.0,391.75,2573.22
10/18/2014,20:00:00,391.13,396.0,390.24,390.9,1638.67
10/19/2014,00:00:00,390.92,394.5,388.15,392.04,1166.85
10/19/2014,04:00:00,392.34,393.0,390.02,391.0,264.15
10/19/2014,08:00:00,391.11,392.6,383.5,386.0,1583.41
10/19/2014,12:00:00,386.0,392.0,385.07,390.4,741.4
10/19/2014,16:00:00,390.55,390.98,387.6,389.0,778.11
10/19/2014,20:00:00,389.0,391.29,387.0,388.02,815.77
10/20/2014,00:00:00,388.08,388.25,381.56,382.56,2039.01
10/20/2014,04:00:00,382.5,383.88,370.2,376.96,9453.19
10/20/2014,08:00:00,376.97,384.28,372.02,380.0,4125.13
10/20/2014,12:00:00,380.01,384.87,379.7,383.83,1340.03
10/20/2014,16:00:00,383.53,384.87,380.5,381.2,1236.63
10/20/2014,20:00:00,381.08,383.13,380.5,380.55,984.18
10/21/2014,00:00:00,380.86,381.99,376.66,381.99,1229.72
10/21/2014,04:00:00,381.97,381.99,378.21,381.0,1111.93
10/21/2014,08:00:00,381.0,392.0,380.45,385.4,5407.81
10/21/2014,12:00:00,385.4,394.0,385.4,388.94,5641.51
10/21/2014,16:00:00,388.49,390.0,385.21,385.82,1508.58
10/21/2014,20:00:00,385.3,389.0,384.0,384.0,1366.02
10/22/2014,00:00:00,384.01,386.7,384.0,385.19,655.82
10/22/2014,04:00:00,385.2,386.7,383.0,384.03,718.93
10/22/2014,08:00:00,384.0,385.0,377.25,381.92,6492.84
10/22/2014,12:00:00,381.74,384.65,379.05,383.25,1257.57
10/22/2014,16:00:00,383.3,383.99,380.6,381.45,889.72
10/22/2014,20:00:00,380.99,382.93,378.79,378.8,603.65
10/23/2014,00:00:00,378.79,383.6,375.01,375.01,2360.8
10/23/2014,04:00:00,375.0,377.49,367.84,368.6,8587.9
10/23/2014,08:00:00,368.62,371.99,363.73,368.41,7675.79
10/23/2014,12:00:00,368.41,368.8,360.6,361.66,7627.49
